task_name,status,SR,TC,GCR,Exec,RU
Put_apple_in_fridge_and_switch_off_the_light_plans_09-09-2026-18-53-56,timeout,0,1,1.0,1.0,1.1
"Slice_the_lettuce,_trash_the_mug_and_switch_off_the_light_plans_09-09-2026-18-53-56",timeout,0,0,0.6666666666666666,1.0,1.1
Cook_the_potato_and_put_it_in_the_Fridge_plans_09-09-2026-18-53-56,failed,0,0,0.5,0.85,1.1
Microwave_a_plate_containing_a_egg_and_a_tomato_plans_09-09-2026-18-53-56,timeout,,,,,
put_mug_in_the_coffee_machine_and_switch_on_the_coffee_machine_plans_09-09-2026-18-53-56,success,1,1,1.0,1.0,1.0
"slice_the_lettuce_and_tomoate,_then_store_in_fridge_plans_09-09-2026-18-53-56",failed,0,1,1.0,0.9285714285714286,1.1
"Slice_the_potato,_clean_the_plate,_and_put_potato_on_the_plate_plans_09-09-2026-18-53-56",failed,0,1,1.0,0.8,1.1
Put_apple_and_lettuce_in_the_Fridge_plans_09-09-2026-18-53-56,timeout,0,1,1.0,1.0,1.1
Rotate_3_times_between_two_veges_plans_09-09-2026-18-53-56,timeout,0,0,0.0,0.0,1.1
"slice_the_potato,_then_put_in_fridge_plans_09-09-2026-18-53-56",timeout,0,1,1.0,1.0,1.1
